Market 1 NTP Number,AREA,SOW TSD Date,Vendor Assignment,Date Assigned,Assigned Supervisor,Penguin ID,HHP,On Track or In Jeopardy,Permit Status,Blockers/Risks,Door Tag Date,SOW Received,SOW Estimated Cost,NTP Received,Constuction Status,Locate Date,Restoration Completed,QC Requested Date,QC Sheet Phase 1 Received ,QC Sheet Phase 2 Received ,Footage UG,Actual Redline Completed Footage UG,Footage Remaining,UG Percentage Complete,Construction Start Date,Construction End Date,Fiber Placement  Percentage Complete,Splicing Percentage Complete,Fiber Placement and Splice Only Footage ,Notes
D-HLC511,Pinellas,46290,Full Circle/LSCG,46223,Treyvon Tillman,,93,On Track,Received,,46224,Yes,72479.5,Yes,Locates Called,46227,,,,,5861,,7140,0,,,0,0,0,7/13 NTP Package Received. 7/17 PO Received And Approved.
D-HLC512,Pinellas,46290,Brothers,46223,Anthony Adum,,67,On Track,Received,,46226,Yes,86106.8,Yes,Locates Called,46226,,,,,7115,,7115,0,,,0,0,0,7/14 NTP Package Received
D-HLC513,Pinellas,46290,Power Connect,46219,Matthew Nunes,PPM112719,91,On Track,Received,,,Yes,79458,Yes,Not Started,,,,,,6519,,5454,0,,,0,0,0,7/13 NTP Package Received. 7/17 PO Received And Approved.
D-HLC514,Pinellas,46290,APT Communications  ,46219,Joshua Pacheco,PPM112724,83,On Track,Received,,46223,Yes,87651,Yes,Locates Called,46223,,,,,7199,,8272,0,,,0,0,0,7/13 NTP Package Received. 7/17 PO Received And Approved.
D-HLC515,Pinellas,46290,Randy's Utilities,46241,Joshua Pacheco,,18,On Track,Received,,,Yes,80560,Yes,Not Started,,,,,,6416,,6416,0,,,0,0,0,8/5 NTP Package Received--8/6 PO Received.
D-HLC516,Pinellas,46290,R&F Underground Construction Inc,46241,Joshua Pacheco,,90,On Track,Received,,46237,Yes,113855.5,Yes,Locates Called,46237,,,,,8970,,8970,0,,,0,0,0,7/31 NTP Package Received.
D-HLC517,Pinellas,46290,ASM Utilities,46219,Matthew Nunes,PPM112721,83,On Track,Received,,,Yes,79947,Yes,Not Started,,,,,,6058,,6058,0,,,0,0,0,7/14 NTP Package Received
D-HLC518,Pinellas,46290,ASM Utilities,46219,Matthew Nunes,PPM112722,93,On Track,Received,,,Yes,74446.5,Yes,Not Started,,,,,,5775,,5775,0,,,0,0,0,7/14 NTP Package Received
D-HLC519,Pinellas,46290,Brothers,46223,Anthony Adum,,44,On Track,Received,,,Yes,84001.5,Yes,Not Started,,,,,,6969,,6969,0,,,,,,7/31 NTP Package Received.
FB-HLC512,Pinellas,46290,Brothers,46223,Anthony Adum,PPM112758,0,On Track,Received,,46225,Yes,71505.7,Yes,In Process,46225,,,,,5642,745,2879,0.132045373980858,46241,,0,0,0,7/13 NTP Package Received
FB-HLC519,Pinellas,46290,Power Connect,46219,Matthew Nunes,PPM112720,0,On Track,Received,,,Yes,25127.05,Yes,Not Started,,,,,,2013,,2013,0,,,0,0,0,7/14 NTP Package Received
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Market 2 NTP Number,AREA,SOW TSD Date,Vendor Assignment,Date Assigned,Assigned Supervisor,Penguin ID,HHP,On Track or In Jeopardy,Permit Status,Blockers/Risks,Door Tag Date,SOW Received,SOW Estimated Cost,NTP Received,Constuction Status,Locate Date,Restoration Completed,QC Requested Date,QC Sheet Phase 1 Received ,QC Sheet Phase 2 Received ,Footage UG,Actual Redline Completed Footage UG,Footage Remaining,UG Percentage Complete,Construction Start Date,Construction End Date,Fiber Placement  Percentage Complete,Splicing Percentage Complete,Fiber Placement and Splice Only Footage ,Notes
D-HWP603,Lakeland,46041,,,,PLK105393,43,On Track,Pending,On Hold Per Tillman,,Yes,47561.5,Yes,Not Started,,,,,,3905,,3905,0,,,0,0,0,11/11 Pending Permit.
FB-HWP376,Lakeland,46006,Brothers,45936,Miguel Herrero,PLK102584,0,On Track,Received,On Hold Per Tillman,N/A,Yes,54857.5,Yes,In Process,45933,,,,,4104,3928,176,0.957115009746589,45938,,0,0,0,"9/29 FDOT Permit Received.Assigned to brothers 9-30/CX Began 10/8. 10/21 FDOT is complete, wtg on city permit 12-15"
FB-HWP476,Lakeland,46233,J. Garcia Underground,46169,Miguel Herrero,PLK111960,0,On Track,Received,,N/A,Yes,88403.8,Yes,In Process,46169,,,,,6992,6595,397,0.943220823798627,46195,,0,0,0,5/26 NTP Package Received/White lined and Locates done 5-27-2026/ -- 6-15-26 waiting on water locates and encroachment./Cx start 6-22/Locates were refreshed due to expiration 6-26/City portion completed. DOT crossing US 98N scheduled for 7/13./Pending Encroachment Agreement for I4 from Tillman
FB-HWP881,Lakeland,46142,Splice Only Project,,Eric,PLK105476,0,On Track,Received,On Hold Per Tillman,,Yes,255.05,Yes,Locates Called,,,,,,3,,3,0,,,0,0,0,11/17 Pending Permit.-Splice Only Project.
FB-HWP876,Lakeland,46052,,45866,Miguel Herrero,PLK98825,0,On Track,Pending,On Hold Per Tillman,45866,Yes,18401.05,Yes,Not Started,45866,,,,,1403,,1403,0,,,0,0,0,"Need city, App only. 7/28- Assigned to Brothers LOC/DT requested. LC 12-30"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Market 3 NTP Number,AREA,SOW TSD Date,Vendor Assignment,Date Assigned,Assigned Supervisor,Penguin ID,HHP,On Track or In Jeopardy,Permit Status,Blockers/Risks,Door Tag Date,SOW Received,SOW Estimated Cost,NTP Received,Constuction Status,Locate Date,Restoration Completed,QC Requested Date,QC Sheet Phase 1 Received ,QC Sheet Phase 2 Received ,Footage UG,Actual Redline Completed Footage UG,Footage Remaining,UG Percentage Complete,Construction Start Date,Construction End Date,Fiber Placement  Percentage Complete,Splicing Percentage Complete,Fiber Placement and Splice Only Footage ,Notes
BHUD-FOE-401-W,Bradenton,46295,North Path,46231,Brenton Copelin,MAN112893,0,On Track,Received,,,Yes,18856.2,Yes,Locates Called,46234,,,,,1412,,1412,0,,,0,0,0,7/24 NTP Package Recived--Pending Fiber Details Splcing Document
D-HLX408,Bradenton,46264,North Path,46233,Brenton Copelin,MAN112892,58,On Track,Received,,,Yes,71336.1,Yes,Locates Called,46234,,,,,5678,,5678,0,,,0,0,0,7/29 NTP Package Received.
D-HLX502,Bradenton,46191,North Path,46171,Cody,,61,On Track,Received,,,Yes,44936,Yes,In Process,46146,,,,,3375,557,2818,0.165037037037037,,,0,0,0,4/29 NTP Package Received. On hold due to community shutdown. CX start 7-13-26 again
D-HLX510,Bradenton,46191,North Path,46171,Cody,,78,On Track,Received,,,Yes,58190,Yes,Locates Called,46174,,,,,4283,,4283,0,,,0,0,0,4/29 NTP Package Received. On hold due to community shutdown. CX start 7-13-26 again
FB-HLX175,Bradenton,46295,Lightspeed In-House,46225,Brenton Copelin,MAN112869,0,On Track,Received,,,Yes,36166.65,Yes,In Process,46226,,,,,3036,681,2355,0.224308300395257,,,0,0,0,7/21 NTP Package Received
FB-HOE179,Bradenton,46040,North Path,46125,Cody,MAN104758,0,On Track,Received,,,Yes,18171.6,Yes,Locates Called,46126,,,,,1514,,1514,0,,,0,0,0,10/27 FDOT Permit Received--NTP Package Missing The Fiber Details Splicing Document. 4-24-25 On hold per Tillman
FB-HOE401-V4,Bradenton,46172,Lightspeed In-House,46231,Cody,MAN112894,0,On Track,Received,,,Yes,3443,Yes,Locates Called,46234,,,,,224,,224,0,,,0,0,0,"4/24 Pending Fiber Details Splicing Document, 7/28/26 Reassigned to In House"
FB-HOE401-V6,Bradenton,46295,Lightspeed In-House,46232,Brenton Copelin,,0,On Track,Received,,,Yes,3232.9,Yes,Locates Called,46233,,,,,194,,194,0,,,0,0,0,"7/24 NTP Package Recived--Pending Fiber Details Splcing Document, 7/29/26 Assigned to In House"
North Oaks Estates,Bradenton,46160,Mid Florida Contractors,,,,107,On Track,Pending,On Hold,,Yes,175204.4,Yes,Not Started,,,,,,8686,,8686,0,,,0,0,0,4/14 SOW Received. 
Plantation Bay,Bradenton,46233,Mid Florida Contractors,46212,Cody,FM112414,88,On Track,Not Required,,,Yes,101036.5,Yes,Locates Called,46224,,,,,12305,,12305,0,,,0,0,0,6/11 NTP Package Received.
BHCD-FPW-03-E,Fort Myers,46172,Lopez Underground,46196,Joshua,,0,On Track,Received,,,Yes,43061.3,Yes,In Process,46126,,,,,11789,4819,6970,0.40877088811604,46210,,0,0,0,
D-HDF708,Fort Myers,46081,GN Systems,46038,Joshua,MAN104766,88,On Track,Pending,Permits,46021,Yes,79638,Yes,In Process,46028,,,,,6613,6302,311,0.95297141993044,46042,,0,0,0,10/31 Permit Received With NTP Package./  2/4 CX Construction Continues--Progress At 75% Complete./  2/5 CX Construction Continues--Progress At 85% Complete./  2/6 CX Construction Continues--Progress At 85% Complete./  2/25 CX Construction Continues--Progress at 95% Complete.
D-HDF712,Fort Myers,46081,GN Systems,46055,Joshua,MAN108516,86,On Track,Pending,Permits,46056,Yes,97494,Yes,In Process,46062,,,,,8265,8140,125,0.984875983061101,46064,,0,0,0,2/12 CX Construction Continues--Progress At 58% Complete./  2/13 CX Construction Continues--Progress At 77% Complete./  2/23 CX Construction Continues--Progress At 90% Complete./  2/25 CX Construction Continues--Progress At 98% Complete.
D-HDF740,Fort Myers,46171,GN Systems,46043,Joshua,MAN104770,26,On Track,Pending,Permits,,Yes,35576,Yes,In Process,46028,,,,,3150,2970,180,0.942857142857143,46043,,0,0,0,10/29 Permit Received With NTP Package./  Requires FDOT Permit.
D-HPW326,Fort Myers,46295,,,,,81,On Track,Received,,,Yes,77302,Yes,Not Started,,,,,,6384,,6384,0,,,0,0,0,7/29 NTP Package Recived
D-HPW327,Fort Myers,46295,,,,,85,On Track,Received,,,Yes,78787,Yes,Not Started,,,,,,6242,,6242,0,,,0,0,0,7/29 NTP Package Recived
D-HPW328,Fort Myers,46295,,,,,84,On Track,Received,,,Yes,45941.5,Yes,Not Started,,,,,,3794,,3794,0,,,0,0,0,7/29 NTP Package Recived
D-HPW329,Fort Myers,46295,,,,,71,On Track,Received,,,Yes,71012.5,Yes,Not Started,,,,,,5739,,5739,0,,,0,0,0,7/24 NTP Package Recived
D-HPW330,Fort Myers,46295,,,,,80,On Track,Received,,,Yes,78742,Yes,Not Started,,,,,,6179,,6179,0,,,0,0,0,7/29 NTP Package Recived
D-HPW345,Fort Myers,46295,,,,,87,On Track,Received,,,Yes,93327,Yes,Not Started,,,,,,7138,,7138,0,,,0,0,0,7/29 NTP Package Recived.
D-HPW346,Fort Myers,46295,,,,,89,On Track,Received,,,Yes,93910.15,Yes,Not Started,,,,,,7299,,7299,0,,,0,0,0,7/29 NTP Package Recived
D-HPW348,Fort Myers,46295,Alpha Omega,46240,Joshua,FM112925,83,On Track,Received,,,Yes,78322,Yes,Not Started,,,,,,6192,,6192,0,,,0,0,0,7/29 NTP Package Recived
D-HPW349,Fort Myers,46260,Gulfstream,46224,Joshua,FM112767,80,On Track,Received,,,Yes,77657.7,Yes,Not Started,,,,,,6243,,6243,0,,,0,0,0,6/11 NTP Package Received.
